data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 22:42,Mieszkanie 2pok dla 1-2 osó Gaj Krzyki Czerniawska,2600,https://www.otodom.pl/pl/oferta/mieszkanie-2pok-dla-1-2-oso-gaj-krzyki-czerniawska-ID3kNFc,NIE,600,0,2,"ul. Czerniawska, Wrocław",2004,miejskie,3200,do zamieszkania,47,2026-02-10
2026-02-07 22:43,Nowe mieszkanie premium – pierwszy wynajem,3600,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-premium-pierwszy-wynajem-ID4zNpv,NIE,0,4,2,"Wichrowa, Wrocław",2025,miejskie,4500,do zamieszkania,49,2026-02-10
2026-02-07 22:43,2 osobne pokoje | 55m2 | Parking | Balkon | Internet | Wanna| Siłownia,2800,https://www.otodom.pl/pl/oferta/2-osobne-pokoje-55m2-parking-balkon-internet-wanna-silownia-ID4zX8o,NIE,880,0,2,"ul. Ryszarda Wagnera, Wrocław",brak,miejskie,3800,do zamieszkania,55,2026-02-10
2026-02-07 22:43,3-pok od 01.03.2026 ul.Przedmiejska SOFTY LOFTY Garaż na 2 auta*Balkon,3700,https://www.otodom.pl/pl/oferta/3-pok-od-01-03-2026-ul-przedmiejska-softy-lofty-garaz-na-2-autabalkon-ID4zX90,NIE,0,1,3,"ul. Przedmiejska, Wrocław",brak,miejskie,brak,brak,60,2026-02-10
2026-02-07 22:43,Komfortowy Apartament 45m2 na płycie głównej Rynku,3500,https://www.otodom.pl/pl/oferta/komfortowy-apartament-45m2-na-plycie-glownej-rynku-ID4yX2G,NIE,0,3,2,"rynek Ratusz, Wrocław",brak,miejskie,5000,do zamieszkania,45,2026-02-10
2026-02-07 22:44,3-pok 62 m2 od zaraz ul. Klimasa DI Trevi *Garaż*,3500,https://www.otodom.pl/pl/oferta/3-pok-62-m2-od-zaraz-ul-klimasa-di-trevi-garaz-ID4zX81,NIE,0,2,3,"ul. ks. Czesława Klimasa, Wrocław",brak,miejskie,brak,brak,62,2026-02-10
2026-02-07 22:44,Wyjątkowe Dwupokojowe Mieszkanie Nadodrze,3800,https://www.otodom.pl/pl/oferta/wyjatkowe-dwupokojowe-mieszkanie-nadodrze-ID4zKif,NIE,700,4,2,"ul. Pomorska, Wrocław",brak,gazowe,4500,brak,75,2026-02-10
2026-02-07 22:44,"Walońska, 2-pokojowy 42 m² apartament w Angel Wings",2900,https://www.otodom.pl/pl/oferta/walonska-2-pokojowy-42-m-apartament-w-angel-wings-ID4nauo,NIE,700,4,2,"ul. Walońska, Wrocław",2011,miejskie,4000,do zamieszkania,42,2026-02-10
2026-02-07 22:44,Mieszkanie Nowy Gaj/ 2 pokoje/ 56m2/ parking i komórka lokatorska,3800,https://www.otodom.pl/pl/oferta/mieszkanie-nowy-gaj-2-pokoje-56m2-parking-i-komorka-lokatorska-ID4mqI8,NIE,800,4,2,"ul. Żegiestowska, Wrocław",2018,miejskie,6000,do zamieszkania,56,2026-02-10
2026-02-07 22:45,Przestronne 2 pokojowe mieszkanie z balkonem | Garaż,3000,https://www.otodom.pl/hpr/pl/oferta/przestronne-2-pokojowe-mieszkanie-z-balkonem-garaz-ID4zHAW,NIE,600,2,2,"ul. Stodolna, Wrocław",brak,miejskie,3900,do zamieszkania,52.3,2026-02-10
