data_pobrania,tytul,cena,link,metraz,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 23:54,"Piękny, nowy apartament, Braniborska 70, 3 pokoje",3800,https://www.otodom.pl/pl/oferta/piekny-nowy-apartament-braniborska-70-3-pokoje-ID4zTVc,,800,4,3,"ul. Braniborska, Wrocław",2025,miejskie,4150,do zamieszkania,52,2026-02-10
2026-02-07 23:54,Do wynajęcia mieszkanie/lokal-Rynek,2200,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-lokal-rynek-ID4zTWd,,442,1,1,"rynek Rynek, Wrocław",brak,miejskie,6000,to_renovation,35.23,2026-02-10
2026-02-07 23:54,Ulica Magellana ! Pełen Rozkład ! Super Wyposażone Umeblowane Okazja !,2800,https://www.otodom.pl/pl/oferta/ulica-magellana-pelen-rozklad-super-wyposazone-umeblowane-okazja-ID4zTUS,,0,2,2,"ul. Ferdynanda Magellana, Wrocław",brak,brak,brak,do zamieszkania,46,2026-02-10
2026-02-07 23:54,Wynajmę przytulną kawalerkę w centrum Wrocławia,2200,https://www.otodom.pl/pl/oferta/wynajme-przytulna-kawalerke-w-centrum-wroclawia-ID4sIQS,,520,3,1,"ul. Komandorska, Wrocław",brak,miejskie,3000,do zamieszkania,35,2026-02-10
2026-02-07 23:54,SUPER WIDOK / STARE MIASTO / CENTRUM / GARAŻ,7300,https://www.otodom.pl/pl/oferta/super-widok-stare-miasto-centrum-garaz-ID4zTP8,,1400,10,3,"ul. Podwale, Wrocław",2014,miejskie,9000,do zamieszkania,84,2026-02-10
2026-02-07 23:55,Wynajmę 2 pok w pełni umeblowane mieszkanie Kościańska,2800,https://www.otodom.pl/pl/oferta/wynajme-2-pok-w-pelni-umeblowane-mieszkanie-koscianska-ID4zTmw,,800,1,2,"ul. Kościańska, Wrocław",2018,miejskie,3500,do zamieszkania,52,2026-02-10
2026-02-07 23:55,Nowoczesne 3 pokoje z garderobą | Smart Home | Wańkowicza 52 - 3799 zł,3799,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokoje-z-garderoba-smart-home-wankowicza-52-3799-zl-ID4yqtZ,,1000,4,3,"ul. Melchiora Wańkowicza, Wrocław",brak,brak,8000,do zamieszkania,82,2026-02-10
2026-02-07 23:55,2 pokojowy apartament/oddzielna kuchnia/46m2/2 balkony/ul. Braniborska,3000,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-oddzielna-kuchnia-46m2-2-balkony-ul-braniborska-ID4zTKr,,680,7,2,"ul. Braniborska, Wrocław",2020,miejskie,5000,do zamieszkania,46,2026-02-10
2026-02-07 23:56,ul.Białowieska 3-pok Port Popowice z balkonem widok na park oraz rzekę,3700,https://www.otodom.pl/pl/oferta/ul-bialowieska-3-pok-port-popowice-z-balkonem-widok-na-park-oraz-rzeke-ID4zAtq,,821,6,3,"ul. Białowieska, Wrocław",2025,miejskie,5000,do zamieszkania,57.46,2026-02-10
2026-02-07 23:56,Kawalerka | Bezpośrednio | Bez prowizji | Pets Friendly | Jaworska,2190,https://www.otodom.pl/pl/oferta/kawalerka-bezposrednio-bez-prowizji-pets-friendly-jaworska-ID4zJSh,,520,6,1,"ul. Jaworska, Wrocław",brak,miejskie,brak,do zamieszkania,24,2026-02-10
2026-02-07 23:56,Mieszkanie typu loft z miejscem parkingowym,2000,https://www.otodom.pl/pl/oferta/mieszkanie-typu-loft-z-miejscem-parkingowym-ID4kpIx,,0,2,2,"ul. Władysława Zarembowicza, Wrocław",2021,inne,3000,to_completion,32.24,2026-02-10
2026-02-07 23:56,Kawalerka 5 min. od Rynku,2250,https://www.otodom.pl/pl/oferta/kawalerka-5-min-od-rynku-ID4yXQT,,450,3,1,"ul. Dobra, Wrocław",brak,brak,3000,brak,25,2026-02-10
2026-02-07 23:57,Wynajmę mieszkanie na Nadodrzu,3500,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-na-nadodrzu-ID4mZD1,,800,2,2,Wrocław,brak,gazowe,4000,do zamieszkania,56,2026-02-10
2026-02-07 23:57,"3 pokojowe mieszkanie na Oporowie ul. Aleja Piastów, ogród, garaż",3000,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-oporowie-ul-aleja-piastow-ogrod-garaz-ID4zGx9,,720,0,3,Wrocław,2017,miejskie,3000,do zamieszkania,57,2026-02-10
2026-02-07 23:57,Apartament XS Na grobli 36,1900,https://www.otodom.pl/pl/oferta/apartament-xs-na-grobli-36-ID4pDRB,,700,0,1,"ul. Na Grobli, Wrocław",2018,miejskie,3000,do zamieszkania,16.41,2026-02-10
2026-02-07 23:57,2-pokojowe mieszkanie 55 m² | duży balkon | parking | Pilczyce,2800,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55-m-duzy-balkon-parking-pilczyce-ID4zAsi,,1000,8,2,"ul. Lotnicza, Wrocław",2016,miejskie,2500,do zamieszkania,55,2026-02-10
2026-02-07 23:57,4 pokoje | Pełen Rozkład | ul. Oleska | Zakrzów,3000,https://www.otodom.pl/hpr/pl/oferta/4-pokoje-pelen-rozklad-ul-oleska-zakrzow-ID4jnF8,,1200,5,4,Wrocław,brak,miejskie,4200,do zamieszkania,72.2,2026-02-10
2026-02-07 23:58,"Mieszkanie 3-pokojowe, 2 łazienki Muchobór Wielki",3200,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-2-lazienki-muchobor-wielki-ID4zlS8,,800,3,3,"ul. Marka Hłaski, Wrocław",2007,kotłownia,4200,do zamieszkania,61,2026-02-10
2026-02-07 23:58,nowe mieszkanie Kępa Mieszczańska / komórka lokatorska,3700,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-kepa-mieszczanska-komorka-lokatorska-ID4zTrT,,900,6,2,"ul. Mieszczańska, Wrocław",2024,brak,brak,do zamieszkania,40,2026-02-10
2026-02-07 23:58,Mieszkanie 3-pok. | Garaż | Komórka | Ołtaszyn,4950,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-garaz-komorka-oltaszyn-ID4sTu1,,1500,2,3,"ul. Ułańska, Wrocław",2016,miejskie,brak,brak,100,2026-02-10
2026-02-07 23:58,Przytulne mieszkanie 34m² naprzeciwko Sky Tower,2500,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-34m-naprzeciwko-sky-tower-ID4zyjP,,440,3,2,"ul. Powstańców Śląskich, Wrocław",brak,miejskie,2500,do zamieszkania,34,2026-02-10
2026-02-07 23:59,Sródmieście ul. Walecznych mieszkanie 1 pokojowe do wynajecia 34 m2,1900,https://www.otodom.pl/pl/oferta/srodmiescie-ul-walecznych-mieszkanie-1-pokojowe-do-wynajecia-34-m2-ID4zTq4,,0,0,1,"ul. Walecznych, Wrocław",1938,gazowe,brak,do zamieszkania,34,2026-02-10
2026-02-07 23:59,"Krzyki Agrestowa 3 sypialnie, salon, 2x garaż",5250,https://www.otodom.pl/pl/oferta/krzyki-agrestowa-3-sypialnie-salon-2x-garaz-ID4wHmu,,450,1,4,Wrocław,brak,gazowe,6000,do zamieszkania,113.14,2026-02-10
2026-02-07 23:59,Przytulne mieszkanie 40m² w centrum Wrocławia,2000,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-40m-w-centrum-wroclawia-ID4zLld,,720,3,1,"ul. Paulińska, Wrocław",brak,miejskie,2700,do zamieszkania,40,2026-02-10
2026-02-07 23:59,Światłowód | klimatyzacja | wyspa | jasne | nowoczesne,3050,https://www.otodom.pl/pl/oferta/swiatlowod-klimatyzacja-wyspa-jasne-nowoczesne-ID4zTpW,,750,3,2,Wrocław,2021,brak,4000,do zamieszkania,48,2026-02-10
2026-02-07 23:59,"od 1 marca, MP, 3 pokoje",2600,https://www.otodom.pl/pl/oferta/od-1-marca-mp-3-pokoje-ID4zToq,,900,4,3,"ul. Kłodzka, Wrocław",2017,inne,brak,do zamieszkania,63,2026-02-10
2026-02-08 00:00,Меблированная 2х ком. квартира с 1.02.2026,3200,https://www.otodom.pl/pl/oferta/2-1-02-2026-ID4zTfm,,0,3,2,Wrocław,brak,miejskie,3600,do zamieszkania,40,2026-02-10
2026-02-08 00:00,Studio w Angel City | centrum | Gym | ochrona,2700,https://www.otodom.pl/pl/oferta/studio-w-angel-city-centrum-gym-ochrona-ID4zTiL,,0,4,1,"ul. gen. Romualda Traugutta, Wrocław",2022,miejskie,brak,brak,28.01,2026-02-10
2026-02-08 00:00,"Wrocław, ul. Główna, BEZPOŚREDNIO !",2200,https://www.otodom.pl/pl/oferta/wroclaw-ul-glowna-bezposrednio-ID2hXu5,,750,2,1,"ul. Główna, Wrocław",2008,miejskie,3000,do zamieszkania,45,2026-02-10
2026-02-08 00:00,2 pokojowe mieszkanie w centrum miasta Chrobrego,2250,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-centrum-miasta-chrobrego-ID4zDER,,230,4,2,"ul. Bolesława Chrobrego, Wrocław",brak,brak,3000,brak,33,2026-02-10
2026-02-08 00:00,Apartament 3-pokojowy z tarasem| centrum| od zaraz,4900,https://www.otodom.pl/pl/oferta/apartament-3-pokojowy-z-tarasem-centrum-od-zaraz-ID4zIjT,,500,6,3,"ul. Sokolnicza, Wrocław",2008,miejskie,brak,do zamieszkania,83,2026-02-10
2026-02-08 00:00,Do wynajęcia. Mieszkanie 2-pokojowe. Super lokalizacja. Popowice,2500,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-2-pokojowe-super-lokalizacja-popowice-ID4zGQm,,500,10,2,"ul. Bobrza, Wrocław",1985,miejskie,3000,do zamieszkania,34,2026-02-10
2026-02-08 00:00,Huby: 3 ładne pokoje z windą,3300,https://www.otodom.pl/pl/oferta/huby-3-ladne-pokoje-z-winda-ID4zTfa,,800,4,3,Wrocław,2013,brak,brak,brak,63,2026-02-10
2026-02-08 00:01,"Krzyki, Gaj, ul. Krynicka 3 niezależne pokoje, 63m2, od zaraz",2900,https://www.otodom.pl/pl/oferta/krzyki-gaj-ul-krynicka-3-niezalezne-pokoje-63m2-od-zaraz-ID4zTdd,,950,2,3,"ul. Krynicka, Wrocław",brak,miejskie,4200,do zamieszkania,63,2026-02-10
2026-02-08 00:01,"2 pok. apartament z garażem, Kępa Mieszczańska, od zaraz",2799,https://www.otodom.pl/pl/oferta/2-pok-apartament-z-garazem-kepa-mieszczanska-od-zaraz-ID4zTcS,,0,6,2,"ul. Mieszczańska, Wrocław",2020,miejskie,4000,do zamieszkania,44,2026-02-10
2026-02-08 00:01,Studio w Angel River | balkon | Spa&Gym,2500,https://www.otodom.pl/pl/oferta/studio-w-angel-river-balkon-spa-gym-ID4zTcx,,0,4,1,"ul. Walońska, Wrocław",2019,brak,brak,do zamieszkania,25.87,2026-02-10
2026-02-08 00:01,"ul. Skarbowców, Krzyki, Klecina - 2 pok. 50m2 parking, od lutego",2299,https://www.otodom.pl/pl/oferta/ul-skarbowcow-krzyki-klecina-2-pok-50m2-parking-od-lutego-ID4zTcp,,625,3,2,"ul. Skarbowców, Wrocław",brak,miejskie,3200,do zamieszkania,50,2026-02-10
2026-02-08 00:01,"Mieszkanie, 92 m², Wrocław",2999,https://www.otodom.pl/pl/oferta/mieszkanie-92-m-wroclaw-ID4zTbW,,1400,3,3,"ul. Klasztorna, Wrocław",brak,miejskie,5000,do zamieszkania,92,2026-02-10
2026-02-08 00:01,"3 pok. 75 m2, ul. Skwierzyńska, ścisłe centrum, od zaraz",2600,https://www.otodom.pl/pl/oferta/3-pok-75-m2-ul-skwierzynska-scisle-centrum-od-zaraz-ID4zTbf,,1600,3,3,"ul. Skwierzyńska, Wrocław",brak,miejskie,4500,do zamieszkania,75,2026-02-10
2026-02-08 00:02,"Grunwaldzka, nowe",2200,https://www.otodom.pl/pl/oferta/grunwaldzka-nowe-ID4zT9r,,500,3,1,"ul. Grunwaldzka, Wrocław",brak,electrical,2700,do zamieszkania,20,2026-02-10
