data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-08 02:11,Komfortowe m. z balkonem i miejscem post. na Kępie,2899,https://www.otodom.pl/pl/oferta/komfortowe-m-z-balkonem-i-miejscem-post-na-kepie-ID4zHEL,NIE,1200,2,2,"ul. Romana Dmowskiego, Wrocław",2014,miejskie,2999,brak,51,2026-02-14
2026-02-08 02:12,Komfortowy lokal pod usługi,6000,https://www.otodom.pl/pl/oferta/komfortowy-lokal-pod-uslugi-ID4zHy2,NIE,850,1,3,"bulw. kard. Stefana Wyszyńskiego, Wrocław",1912,gazowe,6000,brak,72,2026-02-14
2026-02-08 02:12,Pl/UA/RU/ 3-pokoje/ Wroclavia﻿/ PETS FRIENDLY,3550,https://www.otodom.pl/pl/oferta/pl-ua-ru-3-pokoje-wroclavia-pets-friendly-ID4zHwg,TAK,900,2,3,"ul. gen. Jana Henryka Dąbrowskiego, Wrocław",brak,miejskie,4600,brak,60,2026-02-14
2026-02-08 02:13,KAWALERKA/36M2/MUCHOBÓR/FASHION OUTLET,2400,https://www.otodom.pl/pl/oferta/kawalerka-36m2-muchobor-fashion-outlet-ID4zjBB,TAK,600,5,2,Wrocław,brak,miejskie,3500,brak,36,2026-02-14
2026-02-08 02:14,Apartament w willi na Borku|Zamykane osiedle|,7500,https://www.otodom.pl/pl/oferta/apartament-w-willi-na-borku-zamykane-osiedle-ID4xZYX,TAK,1200,1,3,"ul. Racławicka, Wrocław",1900,miejskie,15000,brak,110,2026-02-14
2026-02-08 02:14,Nowe umeblowane 3 pokojowe + garaż + ogródek,4200,https://www.otodom.pl/pl/oferta/nowe-umeblowane-3-pokojowe-garaz-ogrodek-ID4zGUw,TAK,0,0,3,Wrocław,2023,brak,6000,brak,60,2026-02-14
2026-02-08 02:16,Borowska vis a vis szpitala,3500,https://www.otodom.pl/pl/oferta/borowska-vis-a-vis-szpitala-ID4yz2H,NIE,0,3,3,"Borowska/Kukuczki, Wrocław",2007,brak,5000,brak,72,2026-02-14
2026-02-08 02:18,3 pokoje/Rynek Wrocław/duży taras,5000,https://www.otodom.pl/pl/oferta/3-pokoje-rynek-wroclaw-duzy-taras-ID4z1cz,NIE,1000,1,3,"rynek Rynek, Wrocław",1954,miejskie,brak,brak,90,2026-02-14
2026-02-08 02:18,Centrum | Garderoba | 2 łazienki | 2 balkony | 3 pokoje,5500,https://www.otodom.pl/pl/oferta/centrum-garderoba-2-lazienki-2-balkony-3-pokoje-ID4ycu4,NIE,1490,1,3,"ul. Księcia Witolda, Wrocław",2019,miejskie,7000,brak,78,2026-02-14
2026-02-08 02:19,Apartament z tarasem w OVO Pl. Dominikański,2250,https://www.otodom.pl/pl/oferta/apartament-z-tarasem-w-ovo-pl-dominikanski-ID4y8gW,TAK,750,5,1,"ul. Podwale, Wrocław",2016,miejskie,3500,brak,24.84,2026-02-14
2026-02-08 02:20,Wrocław Krzyki Kawalerka do wynajęcia Powstańców Śląskich,2300,https://www.otodom.pl/pl/oferta/wroclaw-krzyki-kawalerka-do-wynajecia-powstancow-slaskich-ID4zFKM,TAK,280,0,1,"ul. Powstańców Śląskich, Wrocław",1950,electrical,2300,brak,40,2026-02-14
2026-02-08 02:23,Hit! Nowoczesne mieszkanie przy SkyTower,2900,https://www.otodom.pl/pl/oferta/hit-nowoczesne-mieszkanie-przy-skytower-ID4zFyJ,NIE,0,1,2,Wrocław,brak,other,brak,brak,53,2026-02-14
2026-02-08 02:25,"Komfortowe, dwupokojowe mieszkanie - ul. Powstańców Śląskich",2250,https://www.otodom.pl/pl/oferta/komfortowe-dwupokojowe-mieszkanie-ul-powstancow-slaskich-ID4yEvp,NIE,856,8,2,"pl. Powstańców Śląskich, Wrocław",1975,miejskie,2250,brak,42,2026-02-14
2026-02-08 02:25,Mieszkanie na wynajem Centrum Akademickie,1900,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-centrum-akademickie-ID4zEYg,TAK,400,5,1,"wyb. Ludwika Pasteura, Wrocław",brak,miejskie,3750,brak,11.35,2026-02-14
2026-02-08 02:26,"Mieszkanie, 14,43 m², Wrocław",2000,https://www.otodom.pl/pl/oferta/mieszkanie-14-43-m-wroclaw-ID4zEWX,TAK,800,7,1,"wyb. Ludwika Pasteura, Wrocław",brak,miejskie,4200,brak,14.43,2026-02-14
2026-02-08 02:26,OGRODY HALLERA/TARAS/GARAŻ/DUŻE/PRZYSTANEK/PRESTIŻ/KLIMA/KRZYKI/NOWE,5000,https://www.otodom.pl/pl/oferta/ogrody-hallera-taras-garaz-duze-przystanek-prestiz-klima-krzyki-nowe-ID4zhQJ,TAK,1500,1,3,"al. gen. Józefa Hallera, Wrocław",brak,miejskie,6500,brak,84,2026-02-14
2026-02-08 02:27,Na wynajem kawalerka we Wrocławiu | Śródmieście | k. Legnicka |,2000,https://www.otodom.pl/pl/oferta/na-wynajem-kawalerka-we-wroclawiu-srodmiescie-k-legnicka-ID4zzDy,NIE,410,5,1,"ul. Dobra, Wrocław",brak,miejskie,2000,brak,25,2026-02-14
2026-02-08 02:28,Jasne mieszkanie po remoncie- Pilczyce-ul.Gwarecka,2490,https://www.otodom.pl/pl/oferta/jasne-mieszkanie-po-remoncie-pilczyce-ul-gwarecka-ID4z86G,TAK,950,2,2,"ul. Gwarecka, Wrocław",2000,other,brak,brak,58.3,2026-02-14
2026-02-08 02:29,"Mieszkanie na wynajem, Wrocław, 2 pokoje",3000,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-wroclaw-2-pokoje-ID4z5TB,NIE,880,6,2,"ul. Kazimierska, Wrocław",brak,brak,brak,brak,68.6,2026-02-14
2026-02-08 02:29,Wrocław Sienkiewicza – 2 pokoje blisko centrum,1800,https://www.otodom.pl/pl/oferta/wroclaw-sienkiewicza-2-pokoje-blisko-centrum-ID4ySmp,TAK,500,3,2,"ul. Henryka Sienkiewicza, Wrocław",1960,miejskie,2300,brak,31,2026-02-14
2026-02-08 02:31,"Polecam 2-pokojowe mieszkanie, klima, Kościuszki",3000,https://www.otodom.pl/pl/oferta/polecam-2-pokojowe-mieszkanie-klima-kosciuszki-ID4zEov,TAK,812,2,2,"ul. gen. Jana Henryka Dąbrowskiego, Wrocław",brak,miejskie,3500,brak,48,2026-02-14
2026-02-08 02:32,Kawalerka pierwszy najem!,1950,https://www.otodom.pl/pl/oferta/kawalerka-pierwszy-najem-ID4zEnH,TAK,410,0,1,"ul. Romana Dmowskiego, Wrocław",2015,brak,brak,brak,18.35,2026-02-14
2026-02-08 02:32,"4-pok mieszkanie ok. 100 m²  z ogrodem, garaż",5000,https://www.otodom.pl/pl/oferta/4-pok-mieszkanie-ok-100-m-z-ogrodem-garaz-ID4zEjE,TAK,0,0,4,Wrocław,2008,miejskie,5000,brak,100,2026-02-14
2026-02-08 02:33,"3 Pokoje, Osobna Kuchnia",3500,https://www.otodom.pl/pl/oferta/3-pokoje-osobna-kuchnia-ID4zDYe,NIE,0,1,3,"ul. Łąka Mazurska, Wrocław",brak,other,brak,brak,60,2026-02-14
2026-02-08 02:33,Kawalerka / Jagiellończyka / Bez prowizji,2200,https://www.otodom.pl/pl/oferta/kawalerka-jagiellonczyka-bez-prowizji-ID4zDOT,NIE,700,1,1,"ul. Kazimierza Jagiellończyka, Wrocław",brak,electrical,2900,brak,25,2026-02-14
